analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
0006ejmqkf6t05x,MGI:1921263,Rftn2,C57BL,Early adult,IMPC_CSD_024_001,Vibrissae - appearance,0.7546106
000pd5km9vkhy0m,MGI:2679420,Pak6,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.2953247
00152gb042cv4om,MGI:2444631,Bltp1,C57BL,Early adult,IMPC_XRY_016_001,Number of pelvic vertebrae,0.2686382
001do1s5l848u8a,MGI:1916413,Mrpl44,C57BL,E9.5,IMPC_CBC_014_001,Alkaline phosphatase,0.8637466
001rv0ok4b8uy6x,MGI:1920199,Ccnt2,C57BL,E12.5,IMPC_CSD_013_001,Coat - hair distribution - abdomen,0.977817
0034yrl724hagpm,MGI:2140050,Ints3,C57BL,E9.5,IMPC_GEO_019_001,Embryo Size,0.5993076
003f878t6bp36em,MGI:1913420,Chchd5,C57BL,Early adult,IMPC_ACS_037_001,% Pre-pulse inhibition - Global,0.6837732
003r8i8i5c800rm,MGI:1924467,Rspo4,C57BL,Early adult,IMPC_IPG_010_001,Fasted blood glucose concentration,1.271505e-05
003y65o66ffzp7a,MGI:1924232,Vxn,C57BL,Early adult,IMPC_HEM_019_001,Mean platelet volume,0.4749299
004gd232v456sla,MGI:98386,Sptan1,C57BL,Early adult,IMPC_EYE_012_001,Pupil Shape,0.9217141
005k1zy63sv824a,MGI:1915862,Ube2c,C57BL,E18.5,IMPC_OFD_021_001,Number of rears - total,0.6148917
00601o4547t4h3x,MGI:1922776,Eppin,C57BL,Middle aged adult,IMPC_CBC_016_001,HDL-cholesterol,0.6056912
006197j1j21991m,MGI:2684896,Maneal,C57BL,Early adult,IMPC_EYE_027_001,Persistence of hyaloid vascular system,0.2976817
006n7w96bpx62nx,MGI:1918398,Mier1,129SV,Early adult,IMPC_CSD_025_001,Head size,0.2751707
00776w389yp711x,MGI:98960,Wnt6,C57BL,E15.5,IMPC_CSD_023_001,Vibrissae - presence,0.09547829
0091deh9t83339x,MGI:3611450,Mettl21c,C57BL,Early adult,MGP_IMM_004_001,Total CD4+ T cells - % of ab T cells,0.7571238
0091w838456o5cx,MGI:2387617,Obp2a,C57BL,Early adult,IMPC_HEM_030_001,Neutrophil cell count,0.3816427
009w41n9c42iuda,MGI:1913721,Anp32e,C57BL,Early adult,IMPC_OFD_050_001,Percentage center movement time,0.4944902
00gc404c8wspagm,MGI:1917770,Glipr2,C57BL,Early adult,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,0.1241104
00o46k0a34wqk9x,MGI:1919051,Plekhf2,C57BL,Early adult,MGP_IMM_108_001,Marginal zone B cells - % of CD45+,0.2976805
00swp4930bq3hta,MGI:1914199,Trim59,C57BL,Early adult,IMPC_CSD_041_002,Hindpaw - size,0.3212645
00ua48g0re4k03a,MGI:1927580,Bloc1s6,C59BL,Early adult,IMPC_CBC_003_001,Chloride,0.9700992
