gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
MGI:1921263,Rftn2,C57BL,Early adult,IMPC_CSD_024_001,Vibrissae - appearance,0.7546106
MGI:2679420,Pak6,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.2953247
MGI:2444631,Bltp1,C57BL,Early adult,IMPC_XRY_016_001,Number of pelvic vertebrae,0.2686382
MGI:1916413,Mrpl44,C57BL,E9.5,IMPC_CBC_014_001,Alkaline phosphatase,0.8637466
MGI:1920199,Ccnt2,C57BL,E12.5,IMPC_CSD_013_001,Coat - hair distribution - abdomen,0.977817
MGI:2140050,Ints3,C57BL,E9.5,IMPC_GEO_019_001,Embryo Size,0.5993076
MGI:1913420,Chchd5,C57BL,Early adult,IMPC_ACS_037_001,% Pre-pulse inhibition - Global,0.6837732
MGI:1924467,Rspo4,C57BL,Early adult,IMPC_IPG_010_001,Fasted blood glucose concentration,1.271505e-05
MGI:1924232,Vxn,C57BL,Early adult,IMPC_HEM_019_001,Mean platelet volume,0.4749299
MGI:98386,Sptan1,C57BL,Early adult,IMPC_EYE_012_001,Pupil Shape,0.9217141
MGI:1915862,Ube2c,C57BL,E18.5,IMPC_OFD_021_001,Number of rears - total,0.6148917
MGI:1922776,Eppin,C57BL,Middle aged adult,IMPC_CBC_016_001,HDL-cholesterol,0.6056912
MGI:2684896,Maneal,C57BL,Early adult,IMPC_EYE_027_001,Persistence of hyaloid vascular system,0.2976817
MGI:1918398,Mier1,129SV,Early adult,IMPC_CSD_025_001,Head size,0.2751707
MGI:98960,Wnt6,C57BL,E15.5,IMPC_CSD_023_001,Vibrissae - presence,0.09547829
MGI:3611450,Mettl21c,C57BL,Early adult,MGP_IMM_004_001,Total CD4+ T cells - % of ab T cells,0.7571238
MGI:2387617,Obp2a,C57BL,Early adult,IMPC_HEM_030_001,Neutrophil cell count,0.3816427
MGI:1913721,Anp32e,C57BL,Early adult,IMPC_OFD_050_001,Percentage center movement time,0.4944902
MGI:1917770,Glipr2,C57BL,Early adult,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,0.1241104
MGI:1919051,Plekhf2,C57BL,Early adult,MGP_IMM_108_001,Marginal zone B cells - % of CD45+,0.2976805
MGI:1914199,Trim59,C57BL,Early adult,IMPC_CSD_041_002,Hindpaw - size,0.3212645
MGI:1927580,Bloc1s6,C59BL,Early adult,IMPC_CBC_003_001,Chloride,0.9700992
MGI:1915282,Emc4,C57BL,Early adult,IMPC_HEM_006_001,Mean corpuscular hemoglobin,0.9394754
MGI:1924955,Cstdc2,C57BL,Early adult,IMPC_EYE_017_001,Lens Opacity,0.5112005
MGI:97383,Ntrk1,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.2943943
MGI:1927753,Inpp5e,C57BL,E15.5,IMPC_CSD_078_001,Vocalization,0.2390857
MGI:1337072,Ier5,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.9278199
MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_CSD_038_001,Trunk curl,0.8866748
MGI:1916428,Snx5,C57BL,Early adult,IMPC_XRY_022_001,Radius,0.8230056
MGI:2138198,D630023F18Rik,C57BL,Early adult,MGP_MLN_080_001,Effector gd cells - % of CD45+,0.1583881
MGI:1349164,Sdc4,C57BL,Early adult,IMPC_ABR_010_001,24kHz-evoked ABR Threshold,0.4488389
MGI:2442704,Frrs1l,C57BL,Early adult,IMPC_HEM_019_001,Mean platelet volume,0.2394178
MGI:107171,Ppp3r2,C57BL,Early adult,ESLIM_008_001_007,Transfer arousal,0.4180805
MGI:2444631,Bltp1,C57BL,E12.5,IMPC_GEL_058_001,Heart morphology,0.9944418
MGI:104899,Mob4,C57BL,Early adult,IMPC_GEP_011_002,Hemorrhage,0.7364502
MGI:1914199,Trim59,C57BL,Early adult,IMPC_HEM_001_001,White blood cell count,0.3669798
MGI:1346069,Cdh20,C57BL,Early adult,JAX_OFD_009_001,Whole arena average speed,0.08096606
MGI:1917770,Glipr2,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.2369657
MGI:104294,Tyro3,C57BL,Early adult,IMPC_OFD_050_001,Percentage center movement time,0.08298324
MGI:1350930,Srp9,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.6145621
MGI:2444631,Bltp1,C57BL,Early adult,IMPC_OFD_018_001,Latency to center entry,0.1009468
