parameter_mapping,parameter_name,parameter_description,parameter_id,description
1,17587,Forelimb grip strength measurement,IMPC_GRS_001_001,"Forelimb grip strength measurement forelimb_grip_strength_measurement, "
2,17588,Forelimb and hindlimb grip strength measurement,IMPC_GRS_002_001,"Forelimb and hindlimb grip strength measurement forelimb_and_hindlimb_grip_strength_measurement, "
3,17589,Body weight,IMPC_GRS_003_001,"Body weight body_weight, "
4,17590,General comments about the mouse,IMPC_GRS_004_001,"General comments about the mouse general_comments_about_the_mouse, "
5,17591,Equipment ID,IMPC_GRS_005_001,"Equipment ID equipment_name, "
6,17592,Equipment manufacturer,IMPC_GRS_006_001,"Equipment manufacturer equipment_manufacturer, "
7,17593,Grid model,IMPC_GRS_007_001,"Grid model grid_model, "
8,17594,Forelimb grip strength measurement mean,IMPC_GRS_008_001,"Forelimb grip strength measurement mean forelimb_grip_strength_measurement_mean, "
9,17595,Forelimb and hindlimb grip strength measurement mean,IMPC_GRS_009_001,"Forelimb and hindlimb grip strength measurement mean forelimb_and_hindlimb_grip_strength_measurement_mean, "
10,17596,Forelimb grip strength normalised against body weight,IMPC_GRS_010_001,"Forelimb grip strength normalised against body weight forelimb_grip_strength_normalised_against_body_weight, "
11,17597,Forelimb and hindlimb grip strength normalised against body weight,IMPC_GRS_011_001,"Forelimb and hindlimb grip strength normalised against body weight forelimb_and_hindlimb_grip_strength_normalised_against_body_weight, "
12,17598,Experimenter ID,IMPC_GRS_012_001,"Experimenter ID , "
13,17599,Equipment model,IMPC_GRS_013_001,"Equipment model , "
14,17600,Date equipment last calibrated,IMPC_GRS_014_001,"Date equipment last calibrated , "
15,27568,Adrenal gland,IMPC_ALZ_001_001,"Adrenal gland adrenal, "
16,27569,Lower Urinary Tract,IMPC_ALZ_002_001,"Lower Urinary Tract lower_urinary_tract, "
17,27570,Brain,IMPC_ALZ_003_001,"Brain brain, "
18,27571,Eye,IMPC_ALZ_004_001,"Eye eye, "
19,27572,Heart,IMPC_ALZ_005_001,"Heart heart, "
20,27573,Kidney,IMPC_ALZ_006_001,"Kidney kidney, "
21,27574,Liver,IMPC_ALZ_007_001,"Liver liver, "
22,27575,Lymph Node,IMPC_ALZ_008_001,"Lymph Node lymph_node, "
23,27576,Mammary gland,IMPC_ALZ_009_001,"Mammary gland mammary_gland, "
24,27577,Ovary,IMPC_ALZ_010_001,"Ovary ovary, "
25,27578,Oviduct,IMPC_ALZ_011_001,"Oviduct oviduct, "
26,27579,Skin,IMPC_ALZ_012_001,"Skin skin_with_mg, "
27,27580,Stomach,IMPC_ALZ_013_001,"Stomach stomach, "
28,27581,Testis,IMPC_ALZ_014_001,"Testis testis_epididymus, "
29,27582,Thymus,IMPC_ALZ_015_001,"Thymus thymus, "
30,27583,Trachea,IMPC_ALZ_016_001,"Trachea trachea, "
31,27584,Uterus,IMPC_ALZ_017_001,"Uterus uterus, "
32,27585,Large Intestine,IMPC_ALZ_018_001,"Large Intestine large_intestine, "
33,27586,Esophagus,IMPC_ALZ_019_001,"Esophagus esophagus, "
34,27587,Spinal cord,IMPC_ALZ_020_001,"Spinal cord spinal_cord, "
35,27588,Thyroid gland,IMPC_ALZ_021_001,"Thyroid gland thyroid, "
36,27589,Pituitary gland,IMPC_ALZ_022_001,"Pituitary gland pituitary, "
37,27590,Skeletal Muscle,IMPC_ALZ_023_001,"Skeletal Muscle skeletal_muscle, "
38,27591,Small Intestine,IMPC_ALZ_024_001,"Small Intestine small_intestine, "
39,27592,White Adipose Tissue,IMPC_ALZ_025_001,"White Adipose Tissue white_adipose_tissue, "
40,27593,Lung,IMPC_ALZ_026_001,"Lung lungs, "
41,27594,Aorta,IMPC_ALZ_027_001,"Aorta aorta, "
42,27595,Pancreas,IMPC_ALZ_028_001,"Pancreas pancreas, "
43,27596,Prostate gland,IMPC_ALZ_029_001,"Prostate gland prostate, "
44,27597,Spleen,IMPC_ALZ_030_001,"Spleen spleen, "
45,27598,Brainstem,IMPC_ALZ_031_001,"Brainstem brainstem, "
46,27599,Cartilage tissue,IMPC_ALZ_032_001,"Cartilage tissue cartilage, "
47,27600,Cerebral Cortex,IMPC_ALZ_033_001,"Cerebral Cortex cerebral_cortex, "
48,27601,Cerebellum,IMPC_ALZ_034_001,"Cerebellum cerebellum, "
49,27602,Hippocampus,IMPC_ALZ_035_001,"Hippocampus hippocampus, "
50,27603,Hypothalamus,IMPC_ALZ_036_001,"Hypothalamus hypothalamus, "
51,27604,Olfactory Lobe,IMPC_ALZ_037_001,"Olfactory Lobe olfactory_lobe, "
52,27605,Peripheral Nervous System,IMPC_ALZ_038_001,"Peripheral Nervous System peripheral_nervous_system, "
53,27606,Peyers Patch,IMPC_ALZ_039_001,"Peyers Patch peyers_patch, "
54,27607,Striatum,IMPC_ALZ_040_001,"Striatum straiatum, "
55,27608,Vascular System,IMPC_ALZ_041_001,"Vascular System vascular_system, "
56,27609,Urinary bladder,IMPC_ALZ_042_001,"Urinary bladder urinary bladder, "
57,27610,Bone,IMPC_ALZ_043_001,"Bone bone, "
58,27611,Cecum,IMPC_ALZ_044_001,"Cecum cecum, "
59,27612,Colon,IMPC_ALZ_045_001,"Colon colon, "
60,27613,Duodenum,IMPC_ALZ_046_001,"Duodenum duodenum, "
61,27614,Ileum,IMPC_ALZ_047_001,"Ileum ileum, "
62,27615,Jejunum,IMPC_ALZ_048_001,"Jejunum jejunum, "
63,27616,Gonadal fat pad,IMPC_ALZ_049_001,"Gonadal fat pad adipose_gonad, "
64,27617,Bone  Marrow,IMPC_ALZ_050_001,"Bone  Marrow bone_marrow, "
65,27618,Vas Deferens,IMPC_ALZ_051_001,"Vas Deferens vas_deferens, "
66,27619,Brown adipose tissue,IMPC_ALZ_052_001,"Brown adipose tissue adipose_brown, "
67,27620,Mesenteric adipose tissue,IMPC_ALZ_053_001,"Mesenteric adipose tissue adipose_mesenteric, "
