procedure_name,is_mandatory,procedure_id,parameter_mapping,procedure_description
acoustic startle and pre-pulse inhibition (ppi),true,1,,
adult lacz,false,2,,
auditory brain stem response,true,3,,
body composition (dexa lean/fat),true,4,,
body weight,true,5,,
challenge whole body plethysmography,false,6,,
clinical chemistry,true,7,,
combined shirpa and dysmorphology,true,8,,
echo,false,9,,
electrocardiogram (ecg),true,10,,
embryo lacz,false,11,,
experimental design,false,12,,
eye morphology,true,13,,
fear conditioning,false,14,,
fertility of homozygous knock-out mice,true,15,,
formalin test,false,16,,
grip strength,true,17,,
gross morphology embryo e12.5,false,18,,
gross morphology embryo e14.5-e15.5,false,19,,
gross morphology embryo e18.5,false,20,,
gross morphology embryo e9.5,false,21,,
gross morphology placenta e12.5,false,22,,
gross morphology placenta e14.5-e15.5,false,23,,
gross morphology placenta e18.5,false,24,,
gross morphology placenta e9.5,false,25,,
gross pathology and tissue collection,true,26,,
heart weight,true,27,,
hematology,true,28,,
histopathology,false,29,,
housing and husbandry,false,30,,
immunophenotyping,true,31,,
indirect calorimetry,false,32,,
insulin blood level,false,33,,
intraperitoneal glucose tolerance test (ipgtt),true,34,,
light-dark test,false,35,,
microct e14.5-e15.5,false,36,,
microct e14.5-e15.5 analysis,false,37,,
microct e18.5,false,38,,
microct e9.5,false,39,,
open field,true,40,,
opt e9.5,false,41,,
organ weight,false,42,,
tissue embedding and block banking,false,43,,
viability e12.5 secondary screen,false,44,,
viability e14.5-e15.5 secondary screen,false,45,,
viability e18.5 secondary screen,false,46,,
viability e9.5 secondary screen,false,47,,
viability primary screen,true,48,,
welfare observations,false,49,,
x-ray,true,50,,
y-maze,false,51,,
