"gene_accession_id","gene_symbol"
"MGI:1098604","Rragd"
"MGI:2685195",NA
"MGI:1353435","Fbxw2"
NA,"Inpp5e"
NA,"Wdr12"
"MGI:87879","Aco1"
NA,"Rftn2"
"MGI:2140361","Slc35d1"
"MGI:1918398",NA
NA,"Pdik1l"
"MGI:2444631",NA
"MGI:1889549","Txnip"
"MGI:1095412","Unc5c"
NA,"Zmynd12"
"MGI:1915862","Ube2c"
"MGI:1923953","Cpb1"
NA,"Frrs1l"
NA,"Cd1d1"
NA,"Snx5"
NA,"Ier5"
"MGI:1918066","Rpusd2"
"MGI:2445096","Dhtkd1"
NA,"Ttll7"
NA,"Gnas"
"MGI:2685195","Zbtb34"
"MGI:101784","Nes"
NA,"Pak6"
NA,"Ptma"
NA,"Stxbp1"
"MGI:1915599","Ndufs3"
"MGI:1346069","Cdh20"
"MGI:1349164",NA
NA,"Ube2c"
NA,"Nhlh2"
NA,"Il18r1"
NA,"Fam107b"
NA,"Ddx59"
"MGI:1919051",NA
NA,"Bltp1"
NA,"Heyl"
"MGI:2444631","Bltp1"
"MGI:2140592","Slc44a1"
"MGI:87867","Acadm"
NA,"Mrpl44"
"MGI:95975","Ifi44l"
NA,"Ren1"
"MGI:1913491","Tmem9"
NA,"Ccnt2"
"MGI:1889549",NA
"MGI:1920199","Ccnt2"
"MGI:97565","Pgm1"
"MGI:1350930","Srp9"
"MGI:1916428","Snx5"
NA,"Cdh4"
NA,"Abca4"
NA,"Bend7"
"MGI:1913790","Fam107b"
"MGI:2384297","Map7d1"
"MGI:1913423","Ccdc107"
NA,"Fbxw2"
"MGI:104793","Runx1t1"
NA,"Nes"
NA,"Smpdl3b"
NA,"Pacsin3"
NA,"Shox2"
"MGI:1859866","Cdc20"
"MGI:3045320","Mgat4f"
NA,"Tyro3"
"MGI:2140050","Ints3"
"MGI:1918398","Mier1"
NA,"Gba2"
"MGI:1916732",NA
"MGI:104294","Tyro3"
"MGI:107171","Ppp3r2"
NA,"Tex38"
NA,"Ambra1"
"MGI:1919128","Fam83d"
NA,"Cldn11"
"MGI:2677271","Slc24a5"
"MGI:1914454","Eif2s2"
NA,"Gm7694"
"MGI:2444274","Cfap65"
"MGI:2444989",NA
NA,"Serpinb7"
"MGI:2444989","Spg11"
"MGI:105383",NA
"MGI:1351315","Eloa"
NA,"Ifi204"
NA,"Ints3"
NA,"Gmppa"
"MGI:1890510",NA
"MGI:1927241","Wdr12"
"MGI:1339755","Csf3r"
"MGI:3611450","Mettl21c"
NA,"Cth"
NA,"Pgm1"
NA,"Ect2"
NA,"Sec61a2"
"MGI:103300","Rbl1"
NA,"Fitm2"
NA,"Chchd5"
NA,"Vxn"
"MGI:2140712","Phf24"
NA,"Raly"
NA,"Rspo4"
"MGI:3588202","Garin4"
NA,"Fjx1"
NA,"Mier1"
NA,"Slc35d1"
NA,"Clca1"
"MGI:2384297",NA
"MGI:1346342","Clca1"
"MGI:1349164","Sdc4"
NA,"Map7d1"
"MGI:3650206","Gm12695"
"MGI:2139018","Olah"
NA,"Slc23a3"
NA,"Acot8"
NA,"Sirpb1a"
NA,"Hhat"
NA,"Ndufs3"
NA,"Sptan1"
"MGI:1337072","Ier5"
"MGI:104516","Slc23a3"
NA,"Sccpdh"
NA,"A"
"MGI:2685869","Dpy19l4"
"MGI:101770","Bfsp1"
NA,"Cfap65"
"MGI:1916987","Ttl"
"MGI:2153070","Synpo2"
NA,"Ampd1"
NA,"Fggy"
NA,"Wnt6"
"MGI:1919300","Poglut2"
"MGI:1923304","Prrc2b"
NA,"Txnip"
NA,"Unc5c"
"MGI:1913761","Chtop"
NA,"Eppin"
"MGI:1915643","Mogat1"
NA,"Pced1a"
NA,"Polr3gl"
NA,"Nmur1"
"MGI:2443564","Ambra1"
"MGI:1916330","Gmppa"
NA,"Ttl"
"MGI:1920484","Snorc"
"MGI:2654325","Gba2"
NA,"Bcan"
"MGI:1922776","Eppin"
"MGI:2441837",NA
NA,"Maneal"
"MGI:2154090","Igsf8"
"MGI:95281","Ect2"
NA,"Ifi44l"
"MGI:3611233","Tox2"
NA,"Mybpc3"
NA,"Cstdc2"
"MGI:107674","Cd1d1"
"MGI:1919471","Cimip1"
"MGI:2685260","Otol1"
"MGI:107363","Stxbp1"
"MGI:1915247","Ddx59"
"MGI:2444391","Slc25a44"
NA,"Ube2u"
NA,"Lpar1"
"MGI:107191","Bmpr1b"
"MGI:1923073",NA
"MGI:3646006","Gm5148"
"MGI:1914199","Trim59"
"MGI:1924232",NA
NA,"Poglut2"
"MGI:1922946","Prpf6"
NA,"Ehmt1"
NA,"Mogat1"
"MGI:104708","Cct3"
NA,"Bfsp1"
NA,"Dhtkd1"
"MGI:1891259",NA
NA,"R3hdm1"
"MGI:2443100","Bend7"
NA,"Cspp1"
"MGI:2135283","Igsf9"
NA,"Anp32e"
"MGI:95975",NA
"MGI:1913692","Spc25"
NA,"Casq2"
"MGI:106925","Cldn11"
NA,"Ccdc107"
NA,"Ankrd34a"
NA,"Abca12"
"MGI:106637","Slc30a2"
NA,"Slc30a2"
NA,"Prrc2b"
NA,"Cdc20"
"MGI:1927753","Inpp5e"
NA,"Zbtb34"
NA,"Cct3"
NA,"Fam227b"
"MGI:1353665","Usp21"
NA,"Mettl21c"
NA,"Obp2a"
"MGI:2443564",NA
NA,"Etv3"
"MGI:1201673","Shox2"
"MGI:1919369","Tpx2"
NA,"Eif2s2"
"MGI:103559","Sox18"
"MGI:98960","Wnt6"
NA,"Stpg3"
"MGI:1922387","Rprd2"
"MGI:108429","Lpar1"
"MGI:1919880","Hspa12b"
"MGI:1921735","Lrrc71"
"MGI:2385213",NA
NA,"Tram2"
"MGI:1924955","Cstdc2"
NA,"Efhd1"
"MGI:1891410",NA
"MGI:2676312","Abca12"
"MGI:2679420","Pak6"
"MGI:97383","Ntrk1"
"MGI:102519","Cst3"
NA,"Igsf9"
"MGI:95777","Gnas"
NA,"Rragd"
"MGI:1921607","Efhd1"
NA,"Spg11"
"MGI:97565",NA
NA,"Rprd2"
NA,"Mpdz"
"MGI:2679260","Crb2"
NA,"Chtop"
"MGI:2444508","Fitm2"
"MGI:1341907","Fjx1"
"MGI:98397",NA
"MGI:98960",NA
NA,"Glipr2"
NA,"Otol1"
NA,"Igsf8"
"MGI:1353665",NA
NA,"Bmpr1b"
NA,"Adgrb3"
"MGI:2387617","Obp2a"
"MGI:1924256","Ddrgk1"
NA,"Tmem9"
NA,"Thsd7b"
"MGI:1913721","Anp32e"
NA,"Dph6"
NA,"Coq3"
"MGI:1916413","Mrpl44"
NA,"Depdc1a"
NA,"Fam83d"
"MGI:3590554",NA
"MGI:2138198","D630023f18rik"
NA,"Usp21"
"MGI:98386","Sptan1"
NA,"Cst3"
NA,"Pigc"
NA,"Usp20"
NA,"Trim59"
"MGI:2151053","Serpinb7"
"MGI:97803","Ptma"
"MGI:2444681","Hhat"
"MGI:1919051","Plekhf2"
"MGI:98397","Src"
"MGI:1096385","Bcan"
NA,"D630023f18rik"
NA,"Srp9"
"MGI:1916330",NA
"MGI:1921263","Rftn2"
"MGI:109424","Abca4"
NA,"Lrrc71"
"MGI:2441837","Adgrb3"
NA,"Cryge"
NA,"Hspa12b"
"MGI:2443805","Bnc2"
"MGI:1278321","Epc2"
"MGI:1098604",NA
"MGI:1924933","Ehmt1"
NA,"Tmem79"
"MGI:2385213","Pdik1l"
NA,"Mob4"
"MGI:1914199",NA
"MGI:1920199",NA
NA,"Eloa"
NA,"Tmem62"
"MGI:1913746",NA
"MGI:1917770","Glipr2"
"MGI:2443925","Thsd7b"
NA,"Snorc"
"MGI:2442177","Pced1a"
