"parameter_id","group_id"
"IMPC_GRS_001_001",7
"IMPC_GRS_002_001",7
"IMPC_GRS_003_001",1
"IMPC_GRS_005_001",11
"IMPC_GRS_006_001",11
"IMPC_GRS_007_001",11
"IMPC_GRS_008_001",7
"IMPC_GRS_009_001",7
"IMPC_GRS_010_001",1
"IMPC_GRS_010_001",7
"IMPC_GRS_011_001",1
"IMPC_GRS_011_001",7
"IMPC_GRS_012_001",11
"IMPC_GRS_013_001",11
"IMPC_GRS_014_001",4
"IMPC_ALZ_003_001",3
"IMPC_ALZ_004_001",5
"IMPC_ALZ_005_001",4
"IMPC_ALZ_005_001",8
"IMPC_ALZ_006_001",11
"IMPC_ALZ_010_001",9
"IMPC_ALZ_011_001",11
"IMPC_ALZ_014_001",9
"IMPC_ALZ_019_001",11
"IMPC_ALZ_020_001",3
"IMPC_ALZ_021_001",11
"IMPC_ALZ_022_001",3
"IMPC_ALZ_023_001",1
"IMPC_ALZ_025_001",1
"IMPC_ALZ_027_001",4
"IMPC_ALZ_031_001",3
"IMPC_ALZ_033_001",3
"IMPC_ALZ_034_001",3
"IMPC_ALZ_035_001",3
"IMPC_ALZ_036_001",3
"IMPC_ALZ_037_001",3
"IMPC_ALZ_039_001",5
"IMPC_ALZ_040_001",3
"IMPC_ALZ_041_001",4
"IMPC_ALZ_043_001",1
"IMPC_ALZ_049_001",1
"IMPC_ALZ_049_001",9
"IMPC_ALZ_050_001",1
"IMPC_ALZ_052_001",1
"IMPC_ALZ_053_001",1
"IMPC_ALZ_054_001",4
"IMPC_ALZ_055_001",4
"IMPC_ALZ_058_001",7
"IMPC_ALZ_060_001",11
"IMPC_ALZ_061_001",11
"IMPC_ALZ_064_001",1
"IMPC_ALZ_065_001",3
"IMPC_ALZ_070_001",3
"IMPC_ALZ_075_001",2
"IMPC_ALZ_076_001",2
"IMPC_ALZ_080_001",2
"IMPC_ALZ_080_001",11
"IMPC_ALZ_081_001",2
"IMPC_ALZ_081_001",11
"IMPC_ALZ_082_001",2
"IMPC_ALZ_082_001",11
"IMPC_ALZ_083_001",2
"IMPC_ALZ_083_001",4
"IMPC_ALZ_084_001",11
"IMPC_ALZ_085_001",11
"IMPC_ALZ_087_001",11
"IMPC_ALZ_089_001",11
"IMPC_ALZ_090_001",11
"IMPC_ALZ_091_001",11
"IMPC_ALZ_092_001",11
"IMPC_ALZ_093_001",2
"IMPC_ALZ_094_001",5
"IMPC_ALZ_097_001",2
"IMPC_ALZ_098_001",2
"IMPC_ALZ_099_001",2
"IMPC_ALZ_102_001",11
"IMPC_ALZ_104_001",3
"IMPC_ALZ_104_001",11
"IMPC_ALZ_105_001",3
"IMPC_GEO_003_001",4
"IMPC_GEO_004_001",4
"IMPC_GEO_004_001",7
"IMPC_GEO_005_001",4
"IMPC_GEO_005_001",7
"IMPC_GEO_005_001",8
"IMPC_GEO_006_001",7
"IMPC_GEO_008_001",4
"IMPC_GEO_008_001",7
"IMPC_GEO_008_001",8
"IMPC_GEO_011_001",4
"IMPC_GEO_011_001",7
"IMPC_GEO_012_001",4
"IMPC_GEO_012_001",7
"IMPC_GEO_012_001",11
"IMPC_GEO_013_001",7
"IMPC_GEO_014_001",7
"IMPC_GEO_015_001",7
"IMPC_GEO_016_001",1
"IMPC_GEO_016_001",7
"IMPC_GEO_019_001",1
"IMPC_GEO_019_001",7
"IMPC_GEO_019_001",9
"IMPC_GEO_020_001",7
"IMPC_GEO_021_001",8
"IMPC_GEO_022_001",7
"IMPC_GEO_022_001",8
"IMPC_GEO_023_001",7
"IMPC_GEO_023_001",8
"IMPC_GEO_024_001",6
"IMPC_GEO_028_001",7
"IMPC_GEO_029_001",8
"IMPC_GEO_030_001",5
"IMPC_GEO_031_001",7
"IMPC_GEO_032_001",7
"IMPC_GEO_033_001",7
"IMPC_GEO_036_001",7
"IMPC_GEO_037_001",1
"IMPC_GEO_037_001",7
"IMPC_GEO_040_001",3
"IMPC_GEO_040_001",7
"IMPC_GEO_044_001",5
"IMPC_GEO_045_001",5
"IMPC_GEO_045_001",7
"IMPC_GEO_046_001",1
"IMPC_GEO_046_001",5
"IMPC_GEO_046_001",7
"IMPC_GEO_049_001",2
"IMPC_GEO_050_001",2
"IMPC_GEO_051_001",11
"IMPC_GEO_052_001",11
"IMPC_GEO_053_001",11
"IMPC_GEO_054_001",11
"IMPC_GEO_060_001",4
"IMPC_GEO_007_002",4
"IMPC_GEO_007_002",8
"IMPC_GEO_017_002",7
"IMPC_GEO_018_002",7
"IMPC_GEO_041_002",3
"IMPC_GEO_042_002",3
"IMPC_GEO_043_002",11
"IMPC_GEO_061_001",7
"IMPC_EVP_004_001",9
"IMPC_EVP_005_001",9
"IMPC_EVP_006_001",9
"IMPC_EVP_007_001",9
"IMPC_EVP_011_001",9
"IMPC_EVP_016_001",1
"IMPC_EVP_016_001",7
"IMPC_EVP_017_001",9
"IMPC_EVP_018_001",9
"IMPC_EVP_019_001",9
"IMPC_EVP_022_001",9
"IMPC_EVP_023_001",9
"IMPC_EVP_024_001",9
"IMPC_HOU_003_002",11
"IMPC_HOU_012_001",11
"IMPC_HOU_069_001",11
"IMPC_HOU_073_001",11
"IMPC_HOU_074_001",11
"IMPC_HOU_075_001",11
"IMPC_HOU_038_001",1
"IMPC_HOU_038_001",8
"IMPC_HOU_039_002",8
"IMPC_HOU_081_001",8
"IMPC_HOU_082_001",6
"IMPC_HOU_083_001",6
"IMPC_HOU_083_001",11
"IMPC_HOU_041_001",6
"IMPC_HOU_043_002",1
"IMPC_HOU_043_002",4
"IMPC_HOU_043_002",6
"IMPC_HOU_044_002",1
"IMPC_HOU_045_002",1
"IMPC_HOU_050_001",6
"IMPC_HOU_051_002",1
"IMPC_HOU_051_002",6
"IMPC_HOU_051_002",11
"IMPC_HOU_055_001",11
"IMPC_HOU_084_001",8
