"disease_id","gene_accession_id","phenodigm_score"
"OMIM:200150","MGI:98967",36.02
"OMIM:209850","MGI:98967",45.88
"ORPHA:139399","MGI:98967",13.69
"ORPHA:66624","MGI:98967",44.83
"ORPHA:213","MGI:98967",16.14
"ORPHA:79155","MGI:98967",25.41
"OMIM:157800","MGI:98967",14.96
"OMIM:243910","MGI:98967",16.01
"OMIM:300855","MGI:98967",8.76
"OMIM:259050","MGI:98967",17.78
"OMIM:602440","MGI:98967",12.24
"ORPHA:261494","MGI:98967",15.53
"OMIM:214800","MGI:98967",13.95
"OMIM:619297","MGI:98967",13.07
"ORPHA:276432","MGI:98967",20.94
"ORPHA:107","MGI:98967",31.24
"ORPHA:107","MGI:98967",33.94
"ORPHA:138","MGI:98967",16.04
"OMIM:619648","MGI:98967",10.24
"OMIM:619869","MGI:98967",23.91
"ORPHA:561854","MGI:98967",27.15
"ORPHA:488618","MGI:98967",26.8
"ORPHA:49","MGI:98967",9.21
"ORPHA:648","MGI:98967",13.81
"ORPHA:649","MGI:98967",24.99
"ORPHA:649","MGI:98967",23.91
"ORPHA:247245","MGI:98967",25.72
"ORPHA:95","MGI:98967",13.91
"ORPHA:778","MGI:98967",26.1
"ORPHA:85278","MGI:98967",31.13
"ORPHA:87","MGI:98967",14.19
"ORPHA:319671","MGI:98967",26.09
"ORPHA:705","MGI:98967",41.21
"ORPHA:71272","MGI:98967",7.53
"OMIM:147920","MGI:98967",7.64
"OMIM:220200","MGI:98967",21.7
"OMIM:239500","MGI:98967",35.04
"DECIPHER:45","MGI:98967",37.6
"DECIPHER:8","MGI:98967",32.95
"OMIM:109150","MGI:98967",12.12
"OMIM:113650","MGI:98967",25.57
"OMIM:182290","MGI:98967",22.5
"OMIM:183090","MGI:98967",10.07
"OMIM:194190","MGI:98967",10.17
"OMIM:301094","MGI:98967",21.93
"OMIM:300624","MGI:98967",32.58
"OMIM:301029","MGI:98967",29.45
"OMIM:309000","MGI:98967",9.47
"OMIM:257550","MGI:98967",10.26
"OMIM:602588","MGI:98967",32.14
"OMIM:602588","MGI:98967",37.13
"OMIM:164400","MGI:98967",16.74
"OMIM:606232","MGI:98967",23.55
"ORPHA:261183","MGI:98967",11.96
"OMIM:619312","MGI:98967",19.92
"ORPHA:228384","MGI:98967",15.95
"ORPHA:228402","MGI:98967",27.32
"ORPHA:167","MGI:98967",9.13
"ORPHA:168782","MGI:98967",34.79
"OMIM:610253","MGI:98967",14.03
"OMIM:610688","MGI:98967",18.28
"OMIM:610688","MGI:98967",20.14
"OMIM:610883","MGI:98967",19.83
"OMIM:610954","MGI:98967",18.15
"OMIM:614063","MGI:98967",36.08
"OMIM:615485","MGI:98967",14
"OMIM:615574","MGI:98967",21.19
"OMIM:617682","MGI:98967",18.3
"OMIM:615960","MGI:98967",12.97
"OMIM:618218","MGI:98967",25.02
"OMIM:616268","MGI:98967",12.74
"OMIM:616364","MGI:98967",20.8
"ORPHA:1435","MGI:98967",28.2
"ORPHA:1606","MGI:98967",13.15
"ORPHA:1727","MGI:98967",24.6
"ORPHA:10","MGI:98967",20.85
"ORPHA:1001","MGI:98967",16.77
"ORPHA:100973","MGI:98967",48.31
"OMIM:619695","MGI:98967",23.75
"ORPHA:580","MGI:98967",17.42
"ORPHA:468678","MGI:98967",17.09
"ORPHA:50815","MGI:98967",33.4
"ORPHA:52368","MGI:98967",33.77
"ORPHA:530983","MGI:98967",28.96
"ORPHA:35125","MGI:98967",16.54
"ORPHA:382","MGI:98967",34.46
"ORPHA:64280","MGI:98967",32.13
"ORPHA:208447","MGI:98967",12.59
"ORPHA:2152","MGI:98967",11.86
"ORPHA:217253","MGI:98967",22.15
"ORPHA:251061","MGI:98967",31.36
"ORPHA:238750","MGI:98967",20.17
"ORPHA:819","MGI:98967",17.07
"ORPHA:96121","MGI:98967",19.68
"ORPHA:96148","MGI:98967",20.06
"ORPHA:79414","MGI:98967",27.36
"ORPHA:319182","MGI:98967",19.37
"ORPHA:435638","MGI:98967",20.09
"ORPHA:35689","MGI:98967",17.47
"ORPHA:90646","MGI:98967",26.59
"ORPHA:90646","MGI:98967",31.78
"ORPHA:99965","MGI:98967",11.29
"OMIM:245348","MGI:98967",15.56
"OMIM:249000","MGI:98967",16.1
"OMIM:123450","MGI:98967",25.09
"OMIM:304400","MGI:98967",37.35
"OMIM:301030","MGI:98967",19.22
"OMIM:172700","MGI:98967",48.81
"OMIM:607373","MGI:98967",45.88
"OMIM:607453","MGI:98967",21.8
"OMIM:607453","MGI:98967",43.56
"ORPHA:261197","MGI:98967",26.74
"OMIM:619325","MGI:98967",12.82
"OMIM:619435","MGI:98967",24.67
"ORPHA:293939","MGI:98967",31.76
"ORPHA:3233","MGI:98967",46.29
"OMIM:613174","MGI:98967",18.93
"OMIM:613454","MGI:98967",34.52
"OMIM:608049","MGI:98967",40.84
"OMIM:609425","MGI:98967",41.42
"OMIM:611584","MGI:98967",25.13
"OMIM:611584","MGI:98967",30.57
"OMIM:600430","MGI:98967",26.49
"OMIM:614175","MGI:98967",21.1
"OMIM:615656","MGI:98967",29.72
"OMIM:617435","MGI:98967",26.04
"OMIM:617695","MGI:98967",36.3
"OMIM:618205","MGI:98967",25.94
"OMIM:618778","MGI:98967",40.2
"OMIM:618915","MGI:98967",18.86
"OMIM:618915","MGI:98967",39.4
"OMIM:618347","MGI:98967",17.62
"OMIM:618354","MGI:98967",15.02
"OMIM:617808","MGI:98967",23.2
"OMIM:618013","MGI:98967",56.4
"OMIM:618027","MGI:98967",22.15
"OMIM:619274","MGI:98967",51.39
"ORPHA:157941","MGI:98967",22.23
"ORPHA:157946","MGI:98967",18.29
"ORPHA:18","MGI:98967",19.33
"ORPHA:139431","MGI:98967",6.91
"OMIM:620642","MGI:98967",7.04
"OMIM:619690","MGI:98967",18.32
"OMIM:619877","MGI:98967",30.54
"OMIM:620280","MGI:98967",21.8
"OMIM:620280","MGI:98967",43.56
"OMIM:620281","MGI:98967",49.5
"ORPHA:534","MGI:98967",9.89
"ORPHA:397612","MGI:98967",24.95
"ORPHA:217","MGI:98967",26.56
"ORPHA:2479","MGI:98967",21.44
"ORPHA:251347","MGI:98967",12.21
"ORPHA:231169","MGI:98967",31.13
"ORPHA:231169","MGI:98967",39.7
"ORPHA:231183","MGI:98967",24.58
"ORPHA:231183","MGI:98967",42.19
"ORPHA:98807","MGI:98967",21.24
"ORPHA:79136","MGI:98967",30.2
"ORPHA:309246","MGI:98967",26.25
"ORPHA:434179","MGI:98967",12.42
"ORPHA:363722","MGI:98967",18.1
"OMIM:219090","MGI:98967",12.67
"OMIM:300672","MGI:98967",17.51
"OMIM:602433","MGI:98967",25.89
"OMIM:300352","MGI:98967",28.69
"OMIM:213200","MGI:98967",14.47
"OMIM:619293","MGI:98967",17.6
"OMIM:619317","MGI:98967",21.62
"OMIM:271250","MGI:98967",45.8
"ORPHA:275864","MGI:98967",47.59
"ORPHA:276238","MGI:98967",13.88
"ORPHA:276241","MGI:98967",13.88
"ORPHA:276244","MGI:98967",15.71
"ORPHA:171680","MGI:98967",12.34
"ORPHA:329308","MGI:98967",15.67
"ORPHA:3306","MGI:98967",23.64
"OMIM:614831","MGI:98967",15.45
"OMIM:607625","MGI:98967",17.52
"OMIM:608631","MGI:98967",50.57
"OMIM:608636","MGI:98967",51.92
"OMIM:608638","MGI:98967",50.57
"OMIM:612020","MGI:98967",17.22
"OMIM:610042","MGI:98967",36.06
"OMIM:613886","MGI:98967",23.83
"OMIM:615873","MGI:98967",14.95
"OMIM:616341","MGI:98967",21.34
"OMIM:617830","MGI:98967",27.5
"OMIM:618004","MGI:98967",26.45
"OMIM:618067","MGI:98967",12.81
"OMIM:619621","MGI:98967",8.85
"OMIM:619777","MGI:98967",12.62
"OMIM:620033","MGI:98967",21.06
"OMIM:620208","MGI:98967",8.59
"ORPHA:464306","MGI:98967",15.1
"ORPHA:208441","MGI:98967",32.01
"ORPHA:240103","MGI:98967",15.13
"ORPHA:71518","MGI:98967",45.55
"ORPHA:363558","MGI:98967",4.99
"ORPHA:99027","MGI:98967",16.23
"OMIM:220220","MGI:98967",24.97
"OMIM:300912","MGI:98967",29.49
"OMIM:309548","MGI:98967",36.11
"OMIM:300271","MGI:98967",32.99
"OMIM:300425","MGI:98967",38.99
"OMIM:300495","MGI:98967",35.03
"OMIM:300496","MGI:98967",38.99
"ORPHA:261144","MGI:98967",22.11
"OMIM:212065","MGI:98967",8.84
"OMIM:212066","MGI:98967",22.76
"OMIM:619428","MGI:98967",15.19
"ORPHA:2822","MGI:98967",12.77
"OMIM:607459","MGI:98967",9.87
