"procedure_id","procedure_name","procedure_description","is_mandatory"
1,"Acoustic Startle and Pre-pulse Inhibition (PPI)","The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1
2,"Adult LacZ","To stain adult mutant  and control tissues for bacterial beta-galactosidase (LacZ) activity in order to assess the adult organ, tissue, substructure and cell type of gene expression of IKMC alleles utilizing a LacZ reporter.  Description: Adult mouse tissues are scored for presence of LacZ staining which is distinct from either nonspecific staining observed in wildtype control mice, or is too faint to score as present.  Intensity of staining is not required but can be reported.   Anatomical terms to localize staining to the organ, structure, substructure, or cell type will use standard mouse anatomy ontology terms.",0
3,"Auditory Brain Stem Response","Auditory brainstem response test determines hearing sensitivity and other physiological parameters using evoked potential recordings in anesthetized mice.Ontological description: MP:0004738 - abnormal brainstem auditory evoked potential.",1
4,"Body Composition (DEXA lean/fat)","Measure bone mineral content and density as well as body composition in mice using the DEXA (Dual Energy X-ray Absorptiometry) analyser.",1
5,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1
6,"Challenge Whole Body Plethysmography","The purpose of this procedure is to record the respiratory function of mice, when submitted to methacholine or hypoxia challenge. Other similar protocols, for allergen sensitization and for LPS challenges, will also be available. Ontological description:  MP:0002327 - abnormal respiratory function",0
7,"Clinical Chemistry","Clinical chemistry determines biochemical parameters in plasma including enzymatic activity, specific substrates and electrolytes. Ontological description: MP:0001545 &ndash; blood physiology abnormalities.",1
8,"Combined SHIRPA and Dysmorphology","SHIRPA and dysmorphology were originally always separate assessments.  However they have recently been combined as assessments, so that they take place at the same time.The purpose of the assessments is to examine mice for obvious physical characteristics, behaviors and morphological abnormalities.Descriptions include abnormal locomotion/appearance/behavior/reflex reactions.",1
9,"Echo","To assess the functionality of the heart in order to determine the presence of a mutant phenotype.",0
10,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse.",1
11,"Embryo LacZ","embryo_lacz",0
12,"Experimental design","experimental_design",0
13,"Eye Morphology","To detect abnormalities in eye morphology.",1
14,"Fear Conditioning","Fear Conditioning test assesses aversive learning and memory",0
15,"Fertility of Homozygous Knock-out Mice","To assess the fertility of homozygous knockout mice.",1
16,"Formalin Test","formalin_test",0
17,"Grip Strength","The grip strength test is used to measure the neuromuscular function as maximal muscle strength of forelimbs and combined forelimbs and hind limbs. These are assessed by the grasping applied by the mouse on a grid that is connected to a sensor. Three trials are carried out in succession measuring forelimb-strength only, followed by three successive trials measuring the combined forelimb/hindlimb grip strength. All grip strength values obtained are normalized against mouse body weight.Ontological description: MP:0001515 - abnormal grip strength.",1
18,"Gross Morphology Embryo E12.5","gross_morphology_embryo_e12.5",0
19,"Gross Morphology Embryo E14.5-E15.5","gross_morphology_embryo_e14.5-e15.5",0
20,"Gross Morphology Embryo E18.5","gross_morphology_embryo_e18.5",0
