disease_id	disease_term	gene_accession_id	phenodigm_score
OMIM:209850	Autism	MGI:98967	45.88
ORPHA:139399	Adrenomyeloneuropathy	MGI:98967	13.69
ORPHA:66624	Pandas	MGI:98967	44.83
ORPHA:213	Cystinosis	MGI:98967	16.14
ORPHA:79155	Hydroxykynureninuria	MGI:98967	25.41
OMIM:157800	Cardiospondylocarpofacial Syndrome	MGI:98967	14.96
OMIM:243910	Arima Syndrome	MGI:98967	16.01
OMIM:300855	Ogden Syndrome	MGI:98967	8.76
OMIM:259050	Primrose Syndrome	MGI:98967	17.78
OMIM:602440	Amyotrophy, Monomelic	MGI:98967	12.24
ORPHA:261494	Kleefstra Syndrome	MGI:98967	15.53
OMIM:214800	Charge Syndrome	MGI:98967	13.95
OMIM:619297	Kinsship Syndrome	MGI:98967	13.07
ORPHA:276432	Ogden Syndrome	MGI:98967	20.94
ORPHA:107	Bor Syndrome	MGI:98967	31.24
ORPHA:107	Bor Syndrome	MGI:98967	33.94
ORPHA:138	Charge Syndrome	MGI:98967	16.04
OMIM:619648	Zaki Syndrome	MGI:98967	10.24
OMIM:619869	Neurocardiofaciodigital Syndrome	MGI:98967	23.91
ORPHA:561854	Foxg1 Syndrome	MGI:98967	27.15
ORPHA:488618	Transketolase Deficiency	MGI:98967	26.8
ORPHA:49	Penile Agenesis	MGI:98967	9.21
ORPHA:648	Noonan Syndrome	MGI:98967	13.81
ORPHA:649	Norrie Disease	MGI:98967	24.99
ORPHA:649	Norrie Disease	MGI:98967	23.91
ORPHA:247245	Superficial Siderosis	MGI:98967	25.72
ORPHA:95	Friedreich Ataxia	MGI:98967	13.91
ORPHA:778	Rett Syndrome	MGI:98967	26.1
ORPHA:85278	Christianson Syndrome	MGI:98967	31.13
ORPHA:87	Apert Syndrome	MGI:98967	14.19
ORPHA:319671	Alazami Syndrome	MGI:98967	26.09
ORPHA:705	Pendred Syndrome	MGI:98967	41.21
ORPHA:71272	Sandifer Syndrome	MGI:98967	7.53
OMIM:147920	Kabuki Syndrome 1	MGI:98967	7.64
OMIM:220200	Dandy-Walker Syndrome	MGI:98967	21.7
OMIM:239500	Hyperprolinemia, Type I	MGI:98967	35.04
DECIPHER:45	Xq28 (MECP2) duplication	MGI:98967	37.6
DECIPHER:8	Smith-Magenis syndrome	MGI:98967	32.95
OMIM:109150	Machado-Joseph Disease	MGI:98967	12.12
OMIM:113650	Branchiootorenal Syndrome 1	MGI:98967	25.57
OMIM:182290	Smith-Magenis Syndrome	MGI:98967	22.5
OMIM:183090	Spinocerebellar Ataxia 2	MGI:98967	10.07
OMIM:194190	Wolf-Hirschhorn Syndrome	MGI:98967	10.17
OMIM:301094	Hijazi-Reis Syndrome	MGI:98967	21.93
OMIM:300624	Fragile X Syndrome	MGI:98967	32.58
OMIM:301029	Shukla-Vernon Syndrome	MGI:98967	29.45
OMIM:309000	Lowe Oculocerebrorenal Syndrome	MGI:98967	9.47
OMIM:257550	Ocular Motor Apraxia	MGI:98967	10.26
OMIM:602588	Branchiootic Syndrome 1	MGI:98967	32.14
OMIM:602588	Branchiootic Syndrome 1	MGI:98967	37.13
OMIM:164400	Spinocerebellar Ataxia 1	MGI:98967	16.74
OMIM:606232	Phelan-Mcdermid Syndrome	MGI:98967	23.55
ORPHA:261183	15Q11.2 Microdeletion Syndrome	MGI:98967	11.96
OMIM:619312	Radio-Tartaglia Syndrome	MGI:98967	19.92
ORPHA:228384	5Q14.3 Microdeletion Syndrome	MGI:98967	15.95
ORPHA:228402	2Q23.1 Microdeletion Syndrome	MGI:98967	27.32
ORPHA:167	Chédiak-Higashi Syndrome	MGI:98967	9.13
ORPHA:168782	Childhood Disintegrative Disorder	MGI:98967	34.79
OMIM:610253	Kleefstra Syndrome 1	MGI:98967	14.03
OMIM:610688	Joubert Syndrome 6	MGI:98967	18.28
OMIM:610688	Joubert Syndrome 6	MGI:98967	20.14
OMIM:610883	Potocki-Lupski Syndrome	MGI:98967	19.83
OMIM:610954	Pitt-Hopkins Syndrome	MGI:98967	18.15
OMIM:614063	N-Acetylaspartate Deficiency	MGI:98967	36.08
OMIM:615485	Bainbridge-Ropers Syndrome	MGI:98967	14
OMIM:615574	Asparagine Synthetase Deficiency	MGI:98967	21.19
OMIM:617682	Pilarowski-Bjornsson Syndrome	MGI:98967	18.3
OMIM:615960	Poretti-Boltshauser Syndrome	MGI:98967	12.97
OMIM:618218	Baker-Gordon Syndrome	MGI:98967	25.02
OMIM:616268	Arboleda-Tham Syndrome	MGI:98967	12.74
OMIM:616364	White-Sutton Syndrome	MGI:98967	20.8
ORPHA:1435	Xq21 Microdeletion Syndrome	MGI:98967	28.2
ORPHA:1606	1P36 Deletion Syndrome	MGI:98967	13.15
ORPHA:1727	22Q11.2 Duplication Syndrome	MGI:98967	24.6
ORPHA:10	48, Xxyy Syndrome	MGI:98967	20.85
ORPHA:1001	2Q37 Microdeletion Syndrome	MGI:98967	16.77
ORPHA:100973	Fraxe Intellectual Disability	MGI:98967	48.31
OMIM:619695	Rauch-Steindl Syndrome	MGI:98967	23.75
ORPHA:580	Mucopolysaccharidosis Type 2	MGI:98967	17.42
ORPHA:468678	White-Sutton Syndrome	MGI:98967	17.09
ORPHA:50815	Branchiogenic Deafness Syndrome	MGI:98967	33.4
ORPHA:52368	Mohr-Tranebjaerg Syndrome	MGI:98967	33.77
ORPHA:530983	Lamb-Shaffer Syndrome	MGI:98967	28.96
ORPHA:35125	Epidermal Nevus Syndrome	MGI:98967	16.54
ORPHA:382	Guanidinoacetate Methyltransferase Deficiency	MGI:98967	34.46
ORPHA:64280	Childhood Absence Epilepsy	MGI:98967	32.13
ORPHA:208447	Bilateral Generalized Polymicrogyria	MGI:98967	12.59
ORPHA:2152	Mowat-Wilson Syndrome	MGI:98967	11.86
ORPHA:217253	Nmda Receptor Encephalitis	MGI:98967	22.15
ORPHA:251061	7Q31 Microdeletion Syndrome	MGI:98967	31.36
ORPHA:238750	4Q21 Microdeletion Syndrome	MGI:98967	20.17
ORPHA:819	Smith-Magenis Syndrome	MGI:98967	17.07
ORPHA:96121	7Q11.23 Microduplication Syndrome	MGI:98967	19.68
ORPHA:96148	Distal Deletion 10Q	MGI:98967	20.06
ORPHA:79414	Woolly Hair Nevus	MGI:98967	27.36
ORPHA:319182	Wiedemann-Steiner Syndrome	MGI:98967	19.37
ORPHA:435638	3P25.3 Microdeletion Syndrome	MGI:98967	20.09
ORPHA:35689	Primary Lateral Sclerosis	MGI:98967	17.47
ORPHA:90646	Deafness-Hypogonadism Syndrome	MGI:98967	26.59
ORPHA:90646	Deafness-Hypogonadism Syndrome	MGI:98967	31.78
ORPHA:99965	O'Sullivan-Mcleod Syndrome	MGI:98967	11.29
OMIM:245348	Pyruvate Dehydrogenase E2 Deficiency	MGI:98967	15.56
OMIM:249000	Meckel Syndrome, Type 1	MGI:98967	16.1
OMIM:123450	Cri-Du-Chat Syndrome	MGI:98967	25.09
OMIM:304400	Deafness, X-Linked 2	MGI:98967	37.35
OMIM:301030	Van Esch-O'Driscoll Syndrome	MGI:98967	19.22
OMIM:172700	Pick Disease Of Brain	MGI:98967	48.81
OMIM:607373	Autism, Susceptibility To, 8	MGI:98967	45.88
OMIM:607453	Deafness, Autosomal Dominant 44	MGI:98967	21.8
OMIM:607453	Deafness, Autosomal Dominant 44	MGI:98967	43.56
ORPHA:261197	Proximal 16P11.2 Microdeletion Syndrome	MGI:98967	26.74
OMIM:619325	Coffin-Siris Syndrome 12	MGI:98967	12.82
OMIM:619435	Ritscher-Schinzel Syndrome 4	MGI:98967	24.67
ORPHA:293939	Distal Xq28 Microduplication Syndrome	MGI:98967	31.76
ORPHA:3233	Cochleosaccular Degeneration-Cataract Syndrome	MGI:98967	46.29
OMIM:613174	Chromosome 5P13 Duplication Syndrome	MGI:98967	18.93
OMIM:613454	Rett Syndrome, Congenital Variant	MGI:98967	34.52
OMIM:608049	Autism, Susceptibility To, 3	MGI:98967	40.84
OMIM:609425	Chromosome 3Q29 Deletion Syndrome	MGI:98967	41.42
OMIM:611584	Waardenburg Syndrome, Type 2E	MGI:98967	25.13
OMIM:611584	Waardenburg Syndrome, Type 2E	MGI:98967	30.57
OMIM:600430	Chromosome 2Q37 Deletion Syndrome	MGI:98967	26.49
OMIM:614175	Meckel Syndrome, Type 10	MGI:98967	21.1
OMIM:615656	Chromosome 15Q11.2 Deletion Syndrome	MGI:98967	29.72
OMIM:617435	Lopes-Maciel-Rodan Syndrome	MGI:98967	26.04
OMIM:617695	Pontocerebellar Hypoplasia, Type 11	MGI:98967	36.3
OMIM:618205	Snijders Blok-Campeau Syndrome	MGI:98967	25.94
OMIM:618778	Deafness, Autosomal Dominant 75	MGI:98967	40.2
OMIM:618915	Deafness, Autosomal Dominant 77	MGI:98967	18.86
OMIM:618915	Deafness, Autosomal Dominant 77	MGI:98967	39.4
OMIM:618347	Galloway-Mowat Syndrome 6	MGI:98967	17.62
OMIM:618354	Houge-Janssens Syndrome 3	MGI:98967	15.02
OMIM:617808	Coffin-Siris Syndrome 6	MGI:98967	23.2
OMIM:618013	Deafness, Autosomal Recessive 109	MGI:98967	56.4
OMIM:618027	Coffin-Siris Syndrome 7	MGI:98967	22.15
OMIM:619274	Deafness, Autosomal Dominant 80	MGI:98967	51.39
ORPHA:157941	Huntington Disease-Like 1	MGI:98967	22.23
ORPHA:157946	Huntington Disease-Like 3	MGI:98967	18.29
ORPHA:18	Distal Renal Tubular Acidosis	MGI:98967	19.33
ORPHA:139431	Epilepsy With Eyelid Myoclonia	MGI:98967	6.91
OMIM:620642	Ciliary Dyskinesia, Primary, 53	MGI:98967	7.04
OMIM:619690	Brunet-Wagner Neurodevelopmental Syndrome	MGI:98967	18.32
OMIM:619877	Dentici-Novelli Neurodevelopmental Syndrome	MGI:98967	30.54
OMIM:620280	Deafness, Autosomal Dominant 86	MGI:98967	21.8
OMIM:620280	Deafness, Autosomal Dominant 86	MGI:98967	43.56
OMIM:620281	Deafness, Autosomal Dominant 87	MGI:98967	49.5
ORPHA:534	Oculocerebrorenal Syndrome Of Lowe	MGI:98967	9.89
ORPHA:397612	Macrocephaly-Developmental Delay Syndrome	MGI:98967	24.95
ORPHA:217	Isolated Dandy-Walker Malformation	MGI:98967	26.56
ORPHA:2479	Megalocornea-Intellectual Disability Syndrome	MGI:98967	21.44
ORPHA:251347	Ataxia-Telangiectasia-Like Disorder	MGI:98967	12.21
ORPHA:231169	Usher Syndrome Type 1	MGI:98967	31.13
ORPHA:231169	Usher Syndrome Type 1	MGI:98967	39.7
ORPHA:231183	Usher Syndrome Type 3	MGI:98967	24.58
ORPHA:231183	Usher Syndrome Type 3	MGI:98967	42.19
ORPHA:98807	Primary Dystonia, Dyt13 Type	MGI:98967	21.24
ORPHA:79136	Episodic Ataxia Type 4	MGI:98967	30.2
ORPHA:309246	Gm2 Gangliosidosis, Ab Variant	MGI:98967	26.25
ORPHA:434179	Orofaciodigital Syndrome Type 14	MGI:98967	12.42
ORPHA:363722	Alexander Disease Type Ii	MGI:98967	18.1
OMIM:219090	Pituitary Adenoma 4, Acth-Secreting	MGI:98967	12.67
OMIM:300672	Developmental And Epileptic Encephalopathy 2	MGI:98967	17.51
OMIM:602433	Amyotrophic Lateral Sclerosis 4, Juvenile	MGI:98967	25.89
OMIM:300352	Cerebral Creatine Deficiency Syndrome 1	MGI:98967	28.69
OMIM:213200	Spinocerebellar Ataxia, Autosomal Recessive 2	MGI:98967	14.47
OMIM:619293	Blepharophimosis-Impaired Intellectual Development Syndrome	MGI:98967	17.6
OMIM:619317	Developmental And Epileptic Encephalopathy 6B	MGI:98967	21.62
OMIM:271250	Spinocerebellar Ataxia, Autosomal Recessive 3	MGI:98967	45.8
ORPHA:275864	Behavioral Variant Of Frontotemporal Dementia	MGI:98967	47.59
ORPHA:276238	Machado-Joseph Disease Type 1	MGI:98967	13.88
ORPHA:276241	Machado-Joseph Disease Type 2	MGI:98967	13.88
ORPHA:276244	Machado-Joseph Disease Type 3	MGI:98967	15.71
ORPHA:171680	Lissencephaly Due To Tuba1A Mutation	MGI:98967	12.34
ORPHA:329308	Fatty Acid Hydroxylase-Associated Neurodegeneration	MGI:98967	15.67
ORPHA:3306	Inverted Duplicated Chromosome 15 Syndrome	MGI:98967	23.64
OMIM:614831	Spinocerebellar Ataxia, Autosomal Recessive 13	MGI:98967	15.45
OMIM:607625	Niemann-Pick Disease, Type C2	MGI:98967	17.52
OMIM:608631	Asperger Syndrome, Susceptibility To, 2	MGI:98967	50.57
OMIM:608636	Chromosome 15Q11-Q13 Duplication Syndrome	MGI:98967	51.92
OMIM:608638	Asperger Syndrome, Susceptibility To, 1	MGI:98967	50.57
OMIM:612020	Spastic Paraplegia 39, Autosomal Recessive	MGI:98967	17.22
OMIM:610042	Pitt-Hopkins-Like Syndrome 1	MGI:98967	36.06
OMIM:613886	Obesity, Hyperphagia, And Developmental Delay	MGI:98967	23.83
OMIM:615873	Helsmoortel-Van Der Aa Syndrome	MGI:98967	14.95
OMIM:616341	Developmental And Epileptic Encephalopathy 30	MGI:98967	21.34
OMIM:617830	Developmental And Epileptic Encephalopathy 58	MGI:98967	27.5
OMIM:618004	Developmental And Epileptic Encephalopathy 64	MGI:98967	26.45
OMIM:618067	Developmental And Epileptic Encephalopathy 66	MGI:98967	12.81
OMIM:619621	Spastic Paraplegia 84, Autosomal Recessive	MGI:98967	8.85
OMIM:619777	Developmental And Epileptic Encephalopathy 100	MGI:98967	12.62
OMIM:620033	Developmental And Epileptic Encephalopathy 107	MGI:98967	21.06
OMIM:620208	Spinocerebellar Ataxia, Autosomal Recessive 33	MGI:98967	8.59
ORPHA:464306	Dyrk1A-Related Intellectual Disability Syndrome	MGI:98967	15.1
ORPHA:208441	Bilateral Parasagittal Parieto-Occipital Polymicrogyria	MGI:98967	32.01
ORPHA:240103	Progressive Supranuclear Palsy-Corticobasal Syndrome	MGI:98967	15.13
ORPHA:71518	Benign Paroxysmal Torticollis Of Infancy	MGI:98967	45.55
ORPHA:363558	New-Onset Refractory Status Epilepticus	MGI:98967	4.99
ORPHA:99027	Adult-Onset Autosomal Dominant Leukodystrophy	MGI:98967	16.23
OMIM:220220	Dandy-Walker Malformation With Postaxial Polydactyly	MGI:98967	24.97
OMIM:300912	Intellectual Developmental Disorder, X-Linked 98	MGI:98967	29.49
OMIM:309548	Intellectual Developmental Disorder, X-Linked 109	MGI:98967	36.11
OMIM:300271	Intellectual Developmental Disorder, X-Linked 72	MGI:98967	32.99
OMIM:300425	Autism, Susceptibility To, X-Linked 1	MGI:98967	38.99
OMIM:300495	Autism, Susceptibility To, X-Linked 2	MGI:98967	35.03
OMIM:300496	Autism, Susceptibility To, X-Linked 3	MGI:98967	38.99
ORPHA:261144	Foxg1 Syndrome Due To 14Q12 Microdeletion	MGI:98967	22.11
OMIM:212065	Congenital Disorder Of Glycosylation, Type Ia	MGI:98967	8.84
OMIM:212066	Congenital Disorder Of Glycosylation, Type Iia	MGI:98967	22.76
OMIM:619428	Focal Segmental Glomerulosclerosis And Neurodevelopmental Syndrome	MGI:98967	15.19
ORPHA:2822	Autosomal Recessive Spastic Paraplegia Type 11	MGI:98967	12.77
OMIM:607459	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis	MGI:98967	9.87
OMIM:612474	Chromosome 1Q21.1 Deletion Syndrome, 1.35-Mb	MGI:98967	10.09
OMIM:614104	Intellectual Developmental Disorder, Autosomal Dominant 7	MGI:98967	28.7
OMIM:615502	Intellectual Developmental Disorder, Autosomal Dominant 21	MGI:98967	15.44
OMIM:615516	Intellectual Developmental Disorder, Autosomal Recessive 38	MGI:98967	30.59
OMIM:615541	Intellectual Developmental Disorder, Autosomal Recessive 39	MGI:98967	38.16
OMIM:615637	Intellectual Developmental Disorder, Autosomal Recessive 41	MGI:98967	15.7
