"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name"
"0006ejmqkf6t05x","MGI:1921263","Rftn2","C57BL","Early adult","IMPC_CSD_024_001","0.7546106","Vibrissae - appearance"
"001do1s5l848u8a","MGI:1916413","Mrpl44","C57BL","E9.5","IMPC_CBC_014_001","0.8637466","Alkaline phosphatase"
"001rv0ok4b8uy6x","MGI:1920199","Ccnt2","C57BL","E12.5","IMPC_CSD_013_001","0.977817","Coat - hair distribution - abdomen"
"003y65o66ffzp7a","MGI:1924232","Vxn","C57BL","Early adult","IMPC_HEM_019_001","0.4749299","Mean platelet volume"
"004gd232v456sla","MGI:98386","Sptan1","C57BL","Early adult","IMPC_EYE_012_001","0.9217141","Pupil Shape"
"005k1zy63sv824a","MGI:1915862","Ube2c","C57BL","E18.5","IMPC_OFD_021_001","0.6148917","Number of rears - total"
"00601o4547t4h3x","MGI:1922776","Eppin","C57BL","Middle aged adult","IMPC_CBC_016_001","0.6056912","HDL-cholesterol"
"006n7w96bpx62nx","MGI:1918398","Mier1","129SV","Early adult","IMPC_CSD_025_001","0.2751707","Head size"
"00776w389yp711x","MGI:98960","Wnt6","C57BL","E15.5","IMPC_CSD_023_001","0.09547829","Vibrissae - presence"
"0091deh9t83339x","MGI:3611450","Mettl21c","C57BL","Early adult","MGP_IMM_004_001","0.7571238","Total CD4+ T cells - % of ab T cells"
"0091w838456o5cx","MGI:2387617","Obp2a","C57BL","Early adult","IMPC_HEM_030_001","0.3816427","Neutrophil cell count"
"009w41n9c42iuda","MGI:1913721","Anp32e","C57BL","Early adult","IMPC_OFD_050_001","0.4944902","Percentage center movement time"
"00o46k0a34wqk9x","MGI:1919051","Plekhf2","C57BL","Early adult","MGP_IMM_108_001","0.2976805","Marginal zone B cells - % of CD45+"
"00swp4930bq3hta","MGI:1914199","Trim59","C57BL","Early adult","IMPC_CSD_041_002","0.3212645","Hindpaw - size"
"00ua48g0re4k03a","MGI:1927580","Bloc1s6","C59BL","Early adult","IMPC_CBC_003_001","0.9700992","Chloride"
"00w34i52gq6t9sa","MGI:1915282","Emc4","C57BL","Early adult","IMPC_HEM_006_001","0.9394754","Mean corpuscular hemoglobin"
"00wn0ae6km4l59a","MGI:1924955","Cstdc2","C57BL","Early adult","IMPC_EYE_017_001","0.5112005","Lens Opacity"
"00z341lw4tmt6na","MGI:97383","Ntrk1","C57BL","Early adult","IMPC_GRS_010_001","0.2943943","Forelimb grip strength normalised against body weight"
"00z890hx393ilox","MGI:1927753","Inpp5e","C57BL","E15.5","IMPC_CSD_078_001","0.2390857","Vocalization"
"00zzl5n354nxqlx","MGI:1337072","Ier5","C57BL","Early adult","M-G-P_026_001_003","0.9278199","Coat intact"
"01154eyw6fr4ksa","MGI:1349164","Sdc4","C57BL","Early adult","IMPC_ABR_010_001","0.4488389","24kHz-evoked ABR Threshold"
"0119w207801674a","MGI:2442704","Frrs1l","C57BL","Early adult","IMPC_HEM_019_001","0.2394178","Mean platelet volume"
"012nj01avmd1lta","MGI:107171","Ppp3r2","C57BL","Early adult","ESLIM_008_001_007","0.4180805","Transfer arousal"
"017con0zw292b4x","MGI:1914199","Trim59","C57BL","Early adult","IMPC_HEM_001_001","0.3669798","White blood cell count"
"017ij28ay0424pa","MGI:1346069","Cdh20","C57BL","Early adult","JAX_OFD_009_001","0.08096606","Whole arena average speed"
"01b921qek008jta","MGI:1917770","Glipr2","C57BL","Early adult","IMPC_GEM_069_001","0.2369657","Hindbrain morphology"
"01ge61dn8hi19ga","MGI:2444631","Bltp1","C57BL","Early adult","IMPC_OFD_018_001","0.1009468","Latency to center entry"
"01mu1hc5jp1385a","MGI:2140050","Ints3","C57BL","E9.5","IMPC_IMM_040_002","0.7013873","Effector CD4+ NKT cells - % of live leukocytes (Panel A)"
"01o8ma93k2jh04a","MGI:1919300","Poglut2","C57BL","Early adult","IMPC_ECH_012_001","0.3644325","LVPWs"
"01r6zq38j237c3x","MGI:1913746","Ppdpf","C57BL","Early adult","KMPCLA_GRS_010_001","0.3783162","Forelimb grip strength normalised against body weight"
"01u8anlu2l5336x","MGI:2685869","Dpy19l4","C57BL","Early adult","IMPC_CBC_017_001","0.6230316","Triglycerides"
"01u93w36bfs6i8x","MGI:2443564","Ambra1","C57BL","E9.5","IMPC_DXA_009_001","0.6530873","Fat/Body weight"
"01w2u3pbz77f0cx","MGI:1921520","Usp20","C57BL","Early adult","IMPC_DXA_004_001","0.6273834","Bone Mineral Density (excluding skull)"
"01xz3gu16937b0x","MGI:2684789","Lrsam1","C57BL","Early adult","ESLIM_015_001_011","0.3689669","Iron"
"020b5moy7na7pya","MGI:2444508","Fitm2","C57BL","E12.5","IMPC_OFD_011_001","0.4212592","Periphery resting time"
"0218e8u318770dx","MGI:2443564","Ambra1","C57BL","E12.5","IMPC_CBC_002_001","0.07443484","Potassium"
"021m263ud9l732x","MGI:2139461","Tmem62","C57BL","Early adult","MGP_PBI_005_001","0.4668118","Gamma delta T cell percentage"
"022gc237ebj202a","MGI:1890510","Atp6v0b","C57BL","Early adult","IMPC_DXA_009_001","1.34313e-09","Fat/Body weight"
"0232g8k88d03a3a","MGI:1915282","Emc4","C57BL","Early adult","IMPC_ACS_006_001","0.5399675","Response amplitude - S"
"023bk9d0i7s0i2x","MGI:2140050","Ints3","C57BL","E9.5","IMPC_IMM_011_002","0.3644017","CD4+ NKT cells - % of live leukocytes (Panel A)"
"024a218si76x63x","MGI:107341","Ctss","C57BL","Early adult","IMPC_EYE_063_001","0.05792599","Right inner nuclear layer"
"024u1z73e2l45wa","MGI:2444631","Bltp1","C57BL","Early adult","ESLIM_011_001_005","0.401883","PP4 startle magnitude"
"02575h9x58qh36a","MGI:1309469","Casq2","C57BL","E12.5","MGP_IMM_130_001","0.9421668","CD11b-low cDC - % of CD45+"
"0257jy8lbw1qugx","MGI:107171","Ppp3r2","C57BL","Early adult","IMPC_DXA_006_001","0.6978473","Body length"
"026260y2u9hb07x","MGI:1924486","Sccpdh","C57BL","Early adult","IMPC_EYE_092_002","0.6742481","Retina (combined)"
"02698mow04s66px","MGI:1922387","Rprd2","C57BL","Early adult","IMPC_GEM_007_001","0.2628013","Pericardium Morphology"
"026k75cg613tf3a","MGI:3649135","Gm7694","C57BL","Early adult","CCP_XRY_061_001","0.6728696","Fusion of processes"
"027h5gy4d20558x","MGI:97565","Pgm1","C57BL","E12.5","IMPC_OFD_013_001","0.6550375","Periphery average speed"
"027r5454e3607tx","MGI:107171","Ppp3r2","C57BL","Early adult","IMPC_EYE_070_001","0.1549889","Left outer nuclear layer"
"028649i7z74ppjx","MGI:1891259","Lrat","C57BL","Early adult","JAX_LDT_009_001","0.8125881","Percent time in light"
"028rxl30b42a0yx","MGI:1350930","Srp9","C57BL","Early adult","MGP_IMM_073_001","0.08269183","Effector CD4+ T helper cells - % of CD45+"
"029dy8817hu966a","MGI:2140361","Slc35d1","C57BL","E18.5","IMPC_GEM_025_002","0.3151736","Pallor"
"02as46e7k8x619x","MGI:1919880","Hspa12b","C57BL","Early adult","UCD_OWT_005_001","0.4667722","Right kidney"
"02b4f63i78a1e4a","MGI:107363","Stxbp1","C57BL","Early adult","IMPC_IPG_010_001","0.8891581","Fasted blood glucose concentration"
"02d92wf7l2gq8aa","MGI:2387617","Obp2a","C57BL","Early adult","IMPC_DXA_006_001","0.4420585","Body length"
"02d9ovn828dsz1a","MGI:1919128","Fam83d","C57BL","Early adult","UCDLA_CSD_012_001","0.3341795","Coat - hair distribution - head"
"02j1r41e88pm4vx","MGI:1921735","Lrrc71","C57BL","Early adult","IMPC_IMM_032_002","0.2153291","Effector CD8+ T cells - % of live leukocytes (Panel A)"
"02k906jw50k52ix","MGI:1915643","Mogat1","C57BL","Early adult","MGP_IMM_010_001","0.6912183","Effector Treg cells - % of Treg"
"02osij4k0z0f32a","MGI:3588202","Garin4","C57BL","Early adult","IMPC_EYE_027_001","0.5908706","Persistence of hyaloid vascular system"
"02rzs5yrbg61t0a","MGI:1920199","Ccnt2","C57BL","Early adult","IMPC_GEO_065_001","0.5905942","Limb morphology"
"02vct6ue041861x","MGI:1917120","Polr3gl","C57BL","E18.5","JAX_ROT_002_001","0.1745492","Average duration"
"02vwoq2693v4k9x","MGI:1923073","Fam227b","C57BL","Early adult","CCP_XRY_005_001","0.7747743","Teeth"
"02y4858mhj7tv0x","MGI:106925","Cldn11","C57BL","Middle aged adult","IMPC_EYE_056_001","0.471783","Mean left eye lens density"
"031g5otg7s3o3ca","MGI:97383","Ntrk1","C57BL","Early adult","IMPC_ECH_018_001","0.08249887","Respiration Rate"
"032750z8233w14x","MGI:2444631","Bltp1","C57BL","E12.5","CCP_XRY_031_001","0.149796","Digit integrity"
"0345wef0b6h4s8x","MGI:1931071","Sec61a2","C57BL","Early adult","MGP_PBI_015_001","0.3718842","IgD+ mature B cell percentage"
"034lv7865j4z97x","MGI:97324","Nhlh2","C57BL","Early adult","IMPC_CSD_015_001","0.8660292","Coat - hair texture / appearance - head"
"0356e578f823khx","MGI:2445096","Dhtkd1","C57BL","Early adult","MGP_CSD_026_001","0.6006808","Ventral coat/hair colour"
"035v282575h65kx","MGI:104559","Rcn1","C57BL","Early adult","IMPC_ECG_010_001","0.9466729","HRV"
"03690vcj955tk0a","MGI:1922387","Rprd2","C57BL","E9.5","ESLIM_008_001_016","0.7063446","Trunk curl"
"037i9828h0of3na","MGI:1913491","Tmem9","C57BL","Early adult","IMPC_EYE_065_001","0.4643552","Right posterior chamber depth"
"037qpl5cun9619a","MGI:103559","Sox18","C57BL","Early adult","IMPC_CBC_004_001","0.2242012","Urea (Blood Urea Nitrogen - BUN)"
"03877q45689600a","MGI:2444391","Slc25a44","C57BL","Early adult","M-G-P_016_001_006","0.9982552","Mean-corpuscular-haemoglobin"
"038wb1ggu71dcix","MGI:1923953","Cpb1","C57BL","Early adult","IMPC_GEP_022_001","0.437636","Embryo Size"
"038y695v157946x","MGI:1921520","Usp20","C57BL","Early adult","IMPC_CBC_013_001","0.3223831","Alanine aminotransferase"
"039188n5m6n8nex","MGI:104516","Slc23a3","C57BL","Early adult","IMPC_IMM_004_002","0.525513","NKT cells (panel A) - % of live leukocytes (Panel A)"
